Packet,Link Dir,Ord.Set Type,DLLP Type,TLP Type,Link Event,PSN,AckNak_Seq_Num,VC ID,HdrFC,DataFC,TC,TH,TD,EP,Attributes,AT,Length,RequesterID,Tag,CompleterID,Address,DeviceID,Register,1st BE,Last BE,Cpl Status,Byte Cnt,BCM,Lwr Addr,Msg Routing,Message Code,TS Link,TS Lane,N_FTS,Training Control,TS Data Rate,TS Gen3 Eq Control,TS Gen3 Pre-Cursor,TS Gen3 Cursor,TS Gen3 Post-Cursor,PMUX Channel ID,PMUX Metadata,Snoop,Requirement (Snoop),Scale (Snoop),Value (Snoop),No-Snoop,Requirement (No-Snoop),Scale (No-Snoop),Value (No-Snoop),LCRC,ECRC,CRC 16,Time Delta,Time Stamp,DATA
20,Downstream,,ACK,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1AA9,129.250 ns,0441.801261010s,
21,Upstream,,,MWr(64),,130,,,,,,,,,,,64,001:00:0,0,,00000001:016AF600,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x5DACF2EB,0x82EABB4F,,0.000 ns,0441.801261140s,00000100 FBE80400 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 
22,Upstream,,,MWr(64),,131,,,,,,,,,,,64,001:00:0,0,,00000001:016AF700,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x3BD8B242,0x8AF80F21,,35.750 ns,0441.801261212s,33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 00000100 FBE80400 
23,Downstream,,ACK,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xF985,69.750 ns,0441.801261248s,
24,Downstream,,ACK,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x589E,129.250 ns,0441.801261320s,
25,Upstream,,,MWr(64),,132,,,,,,,,,,,64,001:00:0,0,,00000001:016AF800,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x8B9991AA,0x02B465E2,,0.000 ns,0441.801261448s,00000100 FCE80400 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 
26,Upstream,,,MWr(64),,133,,,,,,,,,,,64,001:00:0,0,,00000001:016AF900,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0xEDEDD103,0x816324E5,,35.750 ns,0441.801261520s,33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 00000100 FCE80400 
27,Downstream,,ACK,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x3FDC,69.750 ns,0441.801261556s,
28,Downstream,,ACK,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x9EC7,141.250 ns,0441.801261628s,
29,Upstream,,,MWr(64),,134,,,,,,,,,,,64,001:00:0,0,,00000001:016AFA00,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x06776023,0x82AB97DB,,2.250 ns,0441.801261770s,00000100 FDE80400 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 
